date,storeCode,store,divisionCode,division,totalPrice
20231012,2,Kumamoto,2,味噌,907
20230913,6,Kagoshima,4,油,528
20231020,5,Nagasaki,1,卵,624
20230828,2,Kumamoto,3,肉,393
20230923,2,Kumamoto,1,卵,948
20230811,3,Oita,0,米,446
20230903,0,Fukuoka,1,卵,527
20230829,3,Oita,5,野菜,932
20230928,6,Kagoshima,5,野菜,418
20230804,3,Oita,3,肉,421
20230905,0,Fukuoka,5,野菜,856
20230822,5,Nagasaki,1,卵,424
20230923,6,Kagoshima,2,味噌,452
20230913,2,Kumamoto,2,味噌,491
20231013,3,Oita,2,味噌,635
20230813,5,Nagasaki,2,味噌,607
20231006,4,Miyazaki,3,肉,573
20230925,2,Kumamoto,1,卵,645
20230929,6,Kagoshima,5,野菜,983
20231020,1,Saga,2,味噌,375
20231017,3,Oita,2,味噌,476
20230908,6,Kagoshima,3,肉,569
20230814,5,Nagasaki,5,野菜,526
20231006,3,Oita,3,肉,801
20230827,2,Kumamoto,3,肉,729
20231024,4,Miyazaki,5,野菜,520
20231009,1,Saga,0,米,910
20230924,3,Oita,5,野菜,993
20231001,3,Oita,1,卵,667
20231023,6,Kagoshima,2,味噌,973
20231023,3,Oita,4,油,644
20230816,2,Kumamoto,1,卵,841
20230817,0,Fukuoka,2,味噌,813
20230922,3,Oita,2,味噌,856
20231002,3,Oita,0,米,900
20230809,5,Nagasaki,3,肉,680
20230903,2,Kumamoto,1,卵,762
20230818,5,Nagasaki,5,野菜,681
20230829,2,Kumamoto,5,野菜,612
20231013,2,Kumamoto,0,米,732
20230915,0,Fukuoka,2,味噌,470
20230928,5,Nagasaki,3,肉,975
20231007,5,Nagasaki,3,肉,552
20230928,0,Fukuoka,3,肉,580
20231002,2,Kumamoto,4,油,376
20230921,3,Oita,2,味噌,433
20230915,3,Oita,1,卵,321
20230810,4,Miyazaki,5,野菜,699
20230829,4,Miyazaki,2,味噌,634
20230811,3,Oita,3,肉,739
20230928,0,Fukuoka,2,味噌,818
20230829,4,Miyazaki,2,味噌,808
20231018,3,Oita,5,野菜,849
20231022,5,Nagasaki,4,油,635
20231004,5,Nagasaki,4,油,378
20230915,4,Miyazaki,2,味噌,838
20230825,3,Oita,4,油,909
20230904,4,Miyazaki,4,油,868
20230930,2,Kumamoto,5,野菜,891
20230820,2,Kumamoto,2,味噌,302
20230922,6,Kagoshima,1,卵,307
20230926,6,Kagoshima,3,肉,305
20230829,4,Miyazaki,5,野菜,444
20230822,5,Nagasaki,4,油,575
20230803,3,Oita,5,野菜,649
20230817,2,Kumamoto,2,味噌,669
20230916,1,Saga,5,野菜,637
20231020,3,Oita,1,卵,730
20230814,0,Fukuoka,0,米,463
20231030,1,Saga,1,卵,477
20230930,3,Oita,4,油,942
20230928,6,Kagoshima,0,米,704
20230820,3,Oita,4,油,976
20230905,3,Oita,1,卵,654
20230907,3,Oita,2,味噌,859
20231030,2,Kumamoto,5,野菜,648
20231014,2,Kumamoto,1,卵,309
20230822,1,Saga,3,肉,666
20231031,1,Saga,4,油,651
20231030,3,Oita,0,米,985
20231011,3,Oita,1,卵,367
20230817,3,Oita,3,肉,498
20231026,1,Saga,5,野菜,304
20230915,6,Kagoshima,0,米,909
20230915,4,Miyazaki,5,野菜,389
20230905,6,Kagoshima,5,野菜,370
20231029,0,Fukuoka,4,油,970
20230822,1,Saga,0,米,456
20231001,3,Oita,5,野菜,888
20231019,5,Nagasaki,4,油,326
20231008,6,Kagoshima,3,肉,756
20231027,1,Saga,4,油,435
20230919,4,Miyazaki,2,味噌,723
20231001,0,Fukuoka,5,野菜,404
20230807,3,Oita,2,味噌,678
20230925,5,Nagasaki,3,肉,365
20230811,6,Kagoshima,0,米,744
20230812,4,Miyazaki,5,野菜,376
20230814,0,Fukuoka,0,米,366
20230908,5,Nagasaki,1,卵,642
20230815,5,Nagasaki,5,野菜,580
20230925,0,Fukuoka,0,米,917
20230912,3,Oita,2,味噌,822
20230806,2,Kumamoto,3,肉,495
20231031,3,Oita,5,野菜,474
20230918,1,Saga,2,味噌,563
20230818,2,Kumamoto,3,肉,866
20231022,6,Kagoshima,3,肉,688
20230808,4,Miyazaki,4,油,485
20230804,0,Fukuoka,0,米,837
20230811,1,Saga,1,卵,406
20231023,1,Saga,4,油,953
20231015,5,Nagasaki,3,肉,581
20230910,0,Fukuoka,5,野菜,501
20231024,3,Oita,5,野菜,968
20230829,1,Saga,4,油,900
20230904,4,Miyazaki,0,米,813
20230820,0,Fukuoka,3,肉,632
20230811,3,Oita,1,卵,350
20231002,4,Miyazaki,2,味噌,910
20231027,2,Kumamoto,2,味噌,455
20230807,1,Saga,0,米,779
20230805,3,Oita,5,野菜,304
20231009,4,Miyazaki,0,米,927
20230802,6,Kagoshima,1,卵,334
20230825,3,Oita,4,油,395
20230818,2,Kumamoto,1,卵,942
20231026,4,Miyazaki,4,油,987
20230904,3,Oita,5,野菜,928
20230814,5,Nagasaki,4,油,841
20230803,4,Miyazaki,3,肉,617
20230814,6,Kagoshima,3,肉,326
20230909,1,Saga,5,野菜,934
20230819,1,Saga,4,油,820
20230827,2,Kumamoto,3,肉,434
20231019,6,Kagoshima,4,油,384
20230930,5,Nagasaki,4,油,627
20230818,4,Miyazaki,4,油,938
20230822,3,Oita,2,味噌,735
20230925,2,Kumamoto,2,味噌,882
20231013,3,Oita,2,味噌,678
20230917,4,Miyazaki,2,味噌,606
20230831,5,Nagasaki,5,野菜,399
20230908,1,Saga,3,肉,328
20230908,5,Nagasaki,4,油,352
20231024,2,Kumamoto,0,米,368
20230823,2,Kumamoto,3,肉,689
20231011,6,Kagoshima,5,野菜,665
20230905,2,Kumamoto,4,油,372
20230825,1,Saga,5,野菜,840
20231008,6,Kagoshima,2,味噌,487
20230803,2,Kumamoto,4,油,927
20230901,3,Oita,4,油,688
20230903,6,Kagoshima,3,肉,855
20231002,3,Oita,4,油,785
20231020,1,Saga,5,野菜,766
20230905,0,Fukuoka,4,油,461
20230806,4,Miyazaki,5,野菜,876
20231004,5,Nagasaki,0,米,423
20230926,2,Kumamoto,0,米,771
20230808,1,Saga,4,油,709
20230814,5,Nagasaki,3,肉,569
20231006,3,Oita,1,卵,631
20231014,3,Oita,4,油,522
20231024,1,Saga,4,油,746
20231020,4,Miyazaki,1,卵,885
20230801,5,Nagasaki,2,味噌,547
20231021,2,Kumamoto,2,味噌,895
20230823,6,Kagoshima,5,野菜,660
20230912,3,Oita,0,米,423
20231026,4,Miyazaki,4,油,955
20231015,0,Fukuoka,4,油,444
20231028,0,Fukuoka,1,卵,448
20231011,1,Saga,1,卵,742
20231022,1,Saga,0,米,375
20230905,3,Oita,3,肉,778
20230913,2,Kumamoto,1,卵,312
20231011,3,Oita,0,米,813
20230927,6,Kagoshima,5,野菜,831
20230922,4,Miyazaki,0,米,698
20230803,2,Kumamoto,3,肉,359
20230907,4,Miyazaki,3,肉,678
20230811,1,Saga,0,米,616
20230805,4,Miyazaki,0,米,705
20231031,6,Kagoshima,5,野菜,520
20230911,6,Kagoshima,4,油,994
20230830,5,Nagasaki,3,肉,502
20230911,5,Nagasaki,1,卵,995
20230915,0,Fukuoka,3,肉,450
20230916,3,Oita,0,米,449
20230918,3,Oita,0,米,467
20230804,4,Miyazaki,4,油,755
20230819,4,Miyazaki,0,米,928
20230822,6,Kagoshima,3,肉,335
20230824,0,Fukuoka,0,米,493
20230924,0,Fukuoka,5,野菜,556
20231022,2,Kumamoto,3,肉,428
20230923,2,Kumamoto,5,野菜,919
20231006,4,Miyazaki,4,油,684
20230825,3,Oita,5,野菜,819
20230826,0,Fukuoka,2,味噌,553
20230913,3,Oita,2,味噌,856
20230908,3,Oita,0,米,915
20230806,5,Nagasaki,5,野菜,798
20230923,3,Oita,3,肉,408
20230826,4,Miyazaki,3,肉,691
20230907,2,Kumamoto,0,米,582
20230927,0,Fukuoka,0,米,568
20230906,3,Oita,5,野菜,338
20230923,4,Miyazaki,3,肉,991
20231027,5,Nagasaki,5,野菜,936
20231022,2,Kumamoto,1,卵,951
20231024,4,Miyazaki,2,味噌,329
20231007,1,Saga,0,米,920
20230814,1,Saga,5,野菜,722
20230813,6,Kagoshima,3,肉,580
20230927,0,Fukuoka,3,肉,700
20230917,6,Kagoshima,4,油,321
20230930,3,Oita,1,卵,633
20231011,0,Fukuoka,1,卵,995
20231024,1,Saga,0,米,312
20230901,5,Nagasaki,1,卵,683
20230902,4,Miyazaki,0,米,388
20231021,4,Miyazaki,2,味噌,406
20230818,1,Saga,4,油,572
20230816,2,Kumamoto,0,米,506
20230918,3,Oita,4,油,897
20231003,2,Kumamoto,2,味噌,721
20231003,0,Fukuoka,1,卵,663
20231010,6,Kagoshima,5,野菜,420
20230820,2,Kumamoto,2,味噌,530
20230919,2,Kumamoto,3,肉,472
20230913,5,Nagasaki,3,肉,651
20231014,3,Oita,1,卵,727
20230915,0,Fukuoka,4,油,590
20230901,2,Kumamoto,3,肉,414
20231004,2,Kumamoto,3,肉,581
20230923,6,Kagoshima,2,味噌,325
20230922,5,Nagasaki,0,米,715
20231012,2,Kumamoto,2,味噌,486
20230802,0,Fukuoka,0,米,602
20231005,0,Fukuoka,2,味噌,499
20230908,4,Miyazaki,0,米,766
20231004,6,Kagoshima,1,卵,710
20230912,1,Saga,2,味噌,497
20231020,5,Nagasaki,5,野菜,737
20231022,3,Oita,2,味噌,457
20231007,4,Miyazaki,1,卵,340
20230809,6,Kagoshima,3,肉,930
20230821,5,Nagasaki,4,油,910
20231012,3,Oita,4,油,400
20231013,6,Kagoshima,2,味噌,545
20230926,0,Fukuoka,0,米,423
20230905,6,Kagoshima,4,油,750
20230808,4,Miyazaki,4,油,473
20231027,1,Saga,5,野菜,710
20230831,6,Kagoshima,0,米,717
20231002,4,Miyazaki,2,味噌,853
20230926,4,Miyazaki,2,味噌,725
20230909,0,Fukuoka,1,卵,688
20230919,0,Fukuoka,0,米,812
20231025,1,Saga,1,卵,827
20230917,3,Oita,4,油,464
20230814,1,Saga,1,卵,751
20230926,2,Kumamoto,5,野菜,976
20231024,4,Miyazaki,3,肉,615
20230911,2,Kumamoto,0,米,377
20231022,3,Oita,1,卵,439
20230802,3,Oita,5,野菜,514
20231029,1,Saga,3,肉,306
20230911,6,Kagoshima,0,米,751
20230902,5,Nagasaki,2,味噌,504
20230912,1,Saga,2,味噌,532
20230906,6,Kagoshima,4,油,423
20230821,4,Miyazaki,1,卵,637
20230809,6,Kagoshima,2,味噌,438
20230906,2,Kumamoto,2,味噌,612
20230916,5,Nagasaki,2,味噌,933
20230807,2,Kumamoto,1,卵,733
20230802,3,Oita,5,野菜,640
20230827,2,Kumamoto,5,野菜,971
20230803,5,Nagasaki,1,卵,839
20230906,1,Saga,4,油,634
20231020,2,Kumamoto,3,肉,600
20230806,0,Fukuoka,4,油,669
20231002,3,Oita,1,卵,738
20230910,5,Nagasaki,1,卵,987
20231021,2,Kumamoto,3,肉,396
20230807,3,Oita,5,野菜,745
20230911,2,Kumamoto,1,卵,820
20231002,6,Kagoshima,5,野菜,952
20231018,5,Nagasaki,5,野菜,907
20230808,6,Kagoshima,0,米,910
20230912,6,Kagoshima,1,卵,311
20230927,0,Fukuoka,1,卵,890
20230811,0,Fukuoka,3,肉,779
20230816,6,Kagoshima,4,油,374
20230912,4,Miyazaki,3,肉,578
20230902,2,Kumamoto,3,肉,538
20230909,6,Kagoshima,5,野菜,497
20231005,1,Saga,2,味噌,549
20230811,0,Fukuoka,3,肉,517
20230805,6,Kagoshima,1,卵,801
20230820,5,Nagasaki,0,米,431
20231002,5,Nagasaki,0,米,921
20230922,0,Fukuoka,1,卵,424
20230906,6,Kagoshima,1,卵,703
20231011,5,Nagasaki,5,野菜,312
20230914,6,Kagoshima,0,米,416
20230810,0,Fukuoka,4,油,562
20230911,0,Fukuoka,4,油,378
20230815,1,Saga,3,肉,684
20230901,5,Nagasaki,3,肉,956
20230919,0,Fukuoka,0,米,324
20231006,0,Fukuoka,3,肉,511
20231026,5,Nagasaki,4,油,595
20230911,4,Miyazaki,5,野菜,575
20230914,4,Miyazaki,0,米,949
20231004,6,Kagoshima,3,肉,609
20230812,4,Miyazaki,5,野菜,929
20230807,0,Fukuoka,5,野菜,501
20230816,1,Saga,5,野菜,628
20230905,0,Fukuoka,3,肉,359
20231006,5,Nagasaki,1,卵,995
20230816,0,Fukuoka,3,肉,513
20230817,4,Miyazaki,1,卵,741
20231011,0,Fukuoka,3,肉,877
20230903,4,Miyazaki,0,米,964
20230909,0,Fukuoka,5,野菜,694
20231004,5,Nagasaki,2,味噌,850
20230926,4,Miyazaki,5,野菜,643
20230801,1,Saga,4,油,977
20230917,0,Fukuoka,3,肉,867
20231017,5,Nagasaki,2,味噌,320
20230905,2,Kumamoto,4,油,477
20231009,2,Kumamoto,2,味噌,946
20230906,3,Oita,1,卵,804
20231028,2,Kumamoto,5,野菜,528
20231004,4,Miyazaki,4,油,897
20231028,2,Kumamoto,0,米,378
20230823,0,Fukuoka,0,米,726
20230930,6,Kagoshima,3,肉,406
20230827,6,Kagoshima,5,野菜,779
20231014,4,Miyazaki,3,肉,885
20230928,4,Miyazaki,4,油,699
20230906,1,Saga,2,味噌,326
20231021,2,Kumamoto,4,油,725
20231004,5,Nagasaki,0,米,577
20231015,3,Oita,1,卵,325
20230928,5,Nagasaki,3,肉,814
20231011,4,Miyazaki,0,米,590
20231008,0,Fukuoka,3,肉,350
20231019,0,Fukuoka,0,米,485
20230914,5,Nagasaki,3,肉,712
20231021,2,Kumamoto,2,味噌,409
20230904,5,Nagasaki,2,味噌,753
20230828,5,Nagasaki,0,米,983
20230902,1,Saga,1,卵,867
20231029,4,Miyazaki,5,野菜,887
20231010,5,Nagasaki,0,米,465
20230825,6,Kagoshima,1,卵,630
20231029,5,Nagasaki,0,米,949
20231007,5,Nagasaki,5,野菜,978
20231011,0,Fukuoka,4,油,470
20230918,3,Oita,3,肉,344
20231015,3,Oita,0,米,753
20230927,3,Oita,5,野菜,583
20231003,1,Saga,1,卵,863
20230902,3,Oita,5,野菜,313
20230918,2,Kumamoto,0,米,665
20231022,1,Saga,1,卵,512
20231019,1,Saga,1,卵,783
20230825,6,Kagoshima,4,油,700
20230820,4,Miyazaki,1,卵,468
20230930,1,Saga,2,味噌,932
20231005,2,Kumamoto,5,野菜,600
20231016,3,Oita,0,米,969
20230811,1,Saga,5,野菜,872
20230913,5,Nagasaki,3,肉,545
20230801,3,Oita,3,肉,478
20230811,5,Nagasaki,3,肉,561
20230911,6,Kagoshima,2,味噌,895
20230825,3,Oita,4,油,683
20231006,3,Oita,0,米,612
20230810,4,Miyazaki,3,肉,402
20230825,2,Kumamoto,3,肉,718
20230831,6,Kagoshima,4,油,718
20231011,4,Miyazaki,1,卵,624
20230802,1,Saga,2,味噌,515
20231013,4,Miyazaki,4,油,411
20230801,1,Saga,0,米,845
20231029,6,Kagoshima,2,味噌,703
20230924,2,Kumamoto,3,肉,337
20231009,0,Fukuoka,5,野菜,871
20230820,4,Miyazaki,1,卵,516
20230920,2,Kumamoto,4,油,924
20230820,2,Kumamoto,3,肉,626
20230915,5,Nagasaki,0,米,766
20230815,6,Kagoshima,2,味噌,888
20231023,0,Fukuoka,3,肉,884
20230817,2,Kumamoto,2,味噌,335
20231020,3,Oita,2,味噌,709
20230818,6,Kagoshima,0,米,547
20231016,5,Nagasaki,3,肉,389
20230918,0,Fukuoka,2,味噌,864
20230911,4,Miyazaki,4,油,887
20230913,1,Saga,5,野菜,537
20231022,0,Fukuoka,1,卵,372
20230815,1,Saga,4,油,829
20230801,2,Kumamoto,1,卵,457
20230923,2,Kumamoto,1,卵,784
20230915,2,Kumamoto,3,肉,464
20230906,1,Saga,3,肉,324
20231003,3,Oita,0,米,387
20231024,4,Miyazaki,0,米,788
20230916,5,Nagasaki,3,肉,335
20231028,6,Kagoshima,0,米,345
20230809,0,Fukuoka,1,卵,758
20231021,6,Kagoshima,0,米,826
20231024,3,Oita,0,米,933
20230817,2,Kumamoto,5,野菜,901
20230810,3,Oita,0,米,739
20231004,1,Saga,1,卵,757
20230827,2,Kumamoto,1,卵,471
20231026,6,Kagoshima,2,味噌,668
20231026,2,Kumamoto,0,米,504
20230821,0,Fukuoka,4,油,304
20231028,3,Oita,5,野菜,920
20231011,1,Saga,5,野菜,837
20230902,1,Saga,0,米,712
20231010,4,Miyazaki,2,味噌,855
20230912,0,Fukuoka,4,油,792
20230917,5,Nagasaki,2,味噌,669
20230810,5,Nagasaki,4,油,547
20230929,6,Kagoshima,3,肉,394
20231009,5,Nagasaki,4,油,546
20230907,4,Miyazaki,1,卵,623
20231007,0,Fukuoka,1,卵,826
20231004,3,Oita,2,味噌,577
20230829,6,Kagoshima,3,肉,926
20230808,5,Nagasaki,3,肉,823
20230921,2,Kumamoto,1,卵,336
20231004,1,Saga,3,肉,440
20230826,2,Kumamoto,0,米,966
20230925,4,Miyazaki,4,油,308
20231031,2,Kumamoto,4,油,413
20231013,1,Saga,2,味噌,510
20230806,3,Oita,3,肉,426
20231002,4,Miyazaki,5,野菜,321
20230803,0,Fukuoka,4,油,581
20230909,3,Oita,3,肉,974
20230905,4,Miyazaki,2,味噌,549
20230826,0,Fukuoka,1,卵,607
20231008,3,Oita,2,味噌,736
20230808,2,Kumamoto,1,卵,964
20230916,4,Miyazaki,3,肉,846
20231008,5,Nagasaki,5,野菜,961
20231001,2,Kumamoto,5,野菜,307
20230925,5,Nagasaki,1,卵,499
20231009,0,Fukuoka,4,油,733
20230819,6,Kagoshima,0,米,360
20231022,2,Kumamoto,4,油,305
20230930,1,Saga,3,肉,712
20230924,3,Oita,3,肉,558
20230814,6,Kagoshima,5,野菜,847
20230811,6,Kagoshima,0,米,409
20231027,4,Miyazaki,0,米,579
20231021,0,Fukuoka,3,肉,704
20230830,1,Saga,5,野菜,534
20230823,4,Miyazaki,2,味噌,479
20231026,0,Fukuoka,5,野菜,677
20230831,6,Kagoshima,1,卵,954
20230902,4,Miyazaki,5,野菜,548
20230904,2,Kumamoto,3,肉,381
20230916,0,Fukuoka,1,卵,854
20231005,5,Nagasaki,4,油,357
20231023,1,Saga,0,米,692
20231001,4,Miyazaki,2,味噌,802
20230809,0,Fukuoka,4,油,870
20231016,2,Kumamoto,2,味噌,388
20231009,5,Nagasaki,0,米,640
20230809,5,Nagasaki,1,卵,700
20230824,0,Fukuoka,5,野菜,550
20230805,0,Fukuoka,5,野菜,954
20230827,0,Fukuoka,3,肉,696
20230918,2,Kumamoto,2,味噌,562
20230910,6,Kagoshima,3,肉,332
20230805,5,Nagasaki,1,卵,306
20230915,4,Miyazaki,3,肉,777
20230828,6,Kagoshima,0,米,765
20230911,6,Kagoshima,2,味噌,317
20230809,2,Kumamoto,1,卵,810
20230821,1,Saga,2,味噌,436
20230805,0,Fukuoka,5,野菜,704
20230925,1,Saga,2,味噌,616
20230810,0,Fukuoka,5,野菜,374
20230928,5,Nagasaki,5,野菜,818
20230824,1,Saga,3,肉,691
20230930,2,Kumamoto,4,油,728
20230926,2,Kumamoto,3,肉,861
20231023,5,Nagasaki,2,味噌,767
20230923,2,Kumamoto,3,肉,647
20230830,0,Fukuoka,0,米,380
20230829,4,Miyazaki,3,肉,895
20231018,4,Miyazaki,0,米,948
20230823,3,Oita,2,味噌,556
20230831,5,Nagasaki,3,肉,663
20230830,2,Kumamoto,1,卵,557
20230926,5,Nagasaki,5,野菜,980
20231023,6,Kagoshima,1,卵,991
20231009,6,Kagoshima,2,味噌,799
20230919,6,Kagoshima,0,米,871
20230913,4,Miyazaki,2,味噌,318
20231003,4,Miyazaki,4,油,716
20230801,6,Kagoshima,2,味噌,666
20230823,6,Kagoshima,3,肉,992
20231024,3,Oita,0,米,375
20230828,1,Saga,3,肉,329
20230820,3,Oita,5,野菜,573
20230824,0,Fukuoka,3,肉,439
20230911,5,Nagasaki,1,卵,411
20230808,6,Kagoshima,4,油,517
20230810,1,Saga,4,油,721
20230823,3,Oita,2,味噌,346
20230827,3,Oita,3,肉,886
20230922,3,Oita,0,米,311
20230919,1,Saga,3,肉,608
20230810,0,Fukuoka,1,卵,842
20230926,4,Miyazaki,1,卵,527
20230809,4,Miyazaki,0,米,366
20230901,5,Nagasaki,3,肉,931
20231022,6,Kagoshima,2,味噌,811
20230802,6,Kagoshima,3,肉,858
20231009,4,Miyazaki,2,味噌,931
20231025,1,Saga,3,肉,630
20230920,0,Fukuoka,1,卵,597
20231006,3,Oita,0,米,473
20230803,5,Nagasaki,3,肉,601
20230929,3,Oita,2,味噌,366
20231021,5,Nagasaki,4,油,862
20230907,0,Fukuoka,1,卵,720
20231008,2,Kumamoto,2,味噌,627
20230825,1,Saga,3,肉,783
20230918,0,Fukuoka,2,味噌,768
20230921,5,Nagasaki,2,味噌,398
20230927,5,Nagasaki,1,卵,818
20231002,2,Kumamoto,4,油,623
20230919,2,Kumamoto,3,肉,494
20230908,6,Kagoshima,5,野菜,397
20231018,3,Oita,5,野菜,535
20230810,0,Fukuoka,1,卵,864
20231025,6,Kagoshima,2,味噌,886
20231008,1,Saga,1,卵,328
20231020,3,Oita,1,卵,485
20230925,1,Saga,5,野菜,644
20230830,1,Saga,3,肉,386
